model,sex,term,ckd_cat,estimate,std.error,statistic,p.value,sex_name,or,lower,upper
mod1,1,ckd_cat,>120,1.171373528488981,0.226408196207003,5.173724044062453,0,Male,3.23,2.07,5.03
mod1,1,ckd_cat,105 - <120,0.8441046298362337,0.08035344711565147,10.504896306705138,0,Male,2.33,1.99,2.72
mod1,1,ckd_cat,90 - <105,0.31416706217815704,0.03518103218809299,8.930012641428037,0,Male,1.37,1.28,1.47
mod1,1,ckd_cat,60 - <75,0.026198612803501095,0.03324097918838876,0.7881420296021966,0.43061,Male,1.03,0.96,1.1
mod1,1,ckd_cat,45 - <60,0.006829324806545363,0.04244002479493632,0.16091707861961937,0.87216,Male,1.01,0.93,1.09
mod1,1,ckd_cat,30 - <45,-0.008109438642272565,0.05640831223276431,-0.14376318526974582,0.88569,Male,0.99,0.89,1.11
mod1,1,ckd_cat,<30,0.07129875212847302,0.08435522365246219,0.845220355555206,0.39799,Male,1.07,0.91,1.27
mod1,2,ckd_cat,>120,0.35519347986316246,0.2284504724664287,1.5547942450211345,0.12,Female,1.43,0.91,2.23
mod1,2,ckd_cat,105 - <120,0.4370545374514326,0.07773128302010314,5.622633777167938,0,Female,1.55,1.33,1.8
mod1,2,ckd_cat,90 - <105,0.24127089365467294,0.03843260009685176,6.277766610811139,0,Female,1.27,1.18,1.37
mod1,2,ckd_cat,60 - <75,0.020727207527593113,0.03634024005066579,0.5703651791703938,0.56843,Female,1.02,0.95,1.1
mod1,2,ckd_cat,45 - <60,0.02269044444635855,0.046162039553183064,0.49153903653275544,0.62305,Female,1.02,0.93,1.12
mod1,2,ckd_cat,30 - <45,-0.04289287189735046,0.06021376813091692,-0.7123432601675529,0.47625,Female,0.96,0.85,1.08
mod1,2,ckd_cat,<30,0.0929130600008194,0.10001684267045124,0.9289741359558977,0.3529,Female,1.1,0.9,1.34
mod2,1,ckd_cat,>120,1.2676346602180784,0.25598368088569695,4.952013565208904,0,Male,3.55,2.15,5.87
mod2,1,ckd_cat,105 - <120,0.8113461497994998,0.0864296428456617,9.387359742401447,0,Male,2.25,1.9,2.67
mod2,1,ckd_cat,90 - <105,0.31046914437592166,0.03694662544478849,8.403180010035664,0,Male,1.36,1.27,1.47
mod2,1,ckd_cat,60 - <75,0.02778735699294114,0.03462797181946251,0.8024540720378942,0.42229,Male,1.03,0.96,1.1
mod2,1,ckd_cat,45 - <60,0.025609716771724408,0.04411609653191859,0.5805073155825432,0.56157,Male,1.03,0.94,1.12
mod2,1,ckd_cat,30 - <45,-0.019036478980391798,0.05814815346045665,-0.3273789079706109,0.74338,Male,0.98,0.88,1.1
mod2,1,ckd_cat,<30,0.0627531722172648,0.08723510816389035,0.7193568454041365,0.47192,Male,1.06,0.9,1.26
mod2,2,ckd_cat,>120,0.3339015445957327,0.25358106523808344,1.3167447825106247,0.18792,Female,1.4,0.85,2.3
mod2,2,ckd_cat,105 - <120,0.4737746259073174,0.08266929156602013,5.73096269403686,0,Female,1.61,1.37,1.89
mod2,2,ckd_cat,90 - <105,0.2312293178262748,0.04034550424897904,5.731228847688182,0,Female,1.26,1.16,1.36
