term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
(Intercept),0.18967890661504944,0.05325320318925192,-31.217325945628147,6.200947886885814e-214,0.17085326923551966,0.21051524124003065,mvf_adv_age
sex1,1.5179051156945897,0.017752070542154226,23.508872945204,3.309698835532707e-122,1.4660130839179537,1.571662280775377,mvf_adv_age
age,1.0209994260712911,7.556342106594148e-4,27.502694776262263,1.630069090799994e-166,1.0194901987775442,1.022514494636222,mvf_adv_age
(Intercept),1.874958490671725,0.10190536925533517,6.168335637879019,6.901253446452203e-10,1.5362462795919032,2.290669087739771,mvf_adv_full
sex1,1.1562184987760649,0.029394726261253258,4.938122705463653,7.887820776196074e-7,1.0914804934738347,1.2247852180719365,mvf_adv_full
age,1.0134093253578076,0.0010885766481858897,12.236360287412849,1.987470347183298e-34,1.011250905320757,1.0155754761921265,mvf_adv_full
WIMD_2011_DECILE,0.9898764995653214,0.004015390785875058,-2.534022736910007,0.011276141490001087,0.9821165847240987,0.9976980397392079,mvf_adv_full
SMOKING_STATUSNon_smoker,0.9515147590977387,0.026666313745221274,-1.8637777024756024,0.06235292825879058,0.9030687233392798,1.0025804604940778,mvf_adv_full
SMOKING_STATUSSmoker,1.1635012929405124,0.030601405432983692,4.948590199303287,7.475294701463067e-7,1.0957718170381145,1.2354302374204447,mvf_adv_full
mm_count_no_ckd,0.9541160991069473,0.005852814907754411,-8.02518420649645,1.0137371147116003e-15,0.9432305274446054,0.9651219089024288,mvf_adv_full
ca_typeadrenal,1.2560513485099825,1.1017251674217685,0.20692361082707814,0.8360695167832075,0.19948229127224962,24.22736343685282,mvf_adv_full
ca_typebone,0.21420775722475546,0.48204567923283115,-3.1963960536027773,0.0013915595622984228,0.08065486798905627,0.5512691014204336,mvf_adv_full
ca_typebreast,0.053633407597497004,0.07173284329385228,-40.784430041395936,0,0.04654421006326928,0.061660807965024,mvf_adv_full
ca_typedig,0.40110883715981854,0.06410928204780861,-14.249457254206948,4.517787279672339e-46,0.3532916890159824,0.4542614449704459,mvf_adv_full
ca_typeendo,2897.7109431374593,72.4628844782653,0.1100104754555844,0.9124010671303533,2.896269720540604e-4,NA,mvf_adv_full
ca_typefemale,0.14160025679225333,0.07430405425620623,-26.307410864546174,1.5776228136283916e-152,0.12227993503405439,0.1636348893568427,mvf_adv_full
ca_typeheadneck,0.4983672050761531,0.08097446434355413,-8.600465834860143,7.939318111136604e-18,0.42500115860186916,0.5838152679513943,mvf_adv_full
ca_typekub,0.12270710192229368,0.07375357748403562,-28.445468275991065,5.544472812815947e-178,0.10607554119515651,0.14164426022418636,mvf_adv_full
ca_typemale,0.030948582640669398,0.25201458679136707,-13.790582998710212,2.904035080266592e-43,0.01831949010556873,0.049461516382103145,mvf_adv_full
ca_typemelanoma,0.028174950923028998,0.10094327258440075,-35.35968142835626,7.117939812451458e-274,0.023055069074704736,0.03425112518576173,mvf_adv_full
ca_typeother,0.36578250832284537,0.12221162892454605,-8.229301668068535,1.8830799956190562e-16,0.28809918726409195,0.4652905128684738,mvf_adv_full
ca_typeprostate,0.14592484012167814,0.06661549778417193,-28.892129422322,1.4992212072381983e-183,0.12790638530665666,0.16608433454180874,mvf_adv_full
ca_typeresp,0.7168983250800431,0.06631807808667714,-5.018560007544122,5.206023225491003e-7,0.6287755880502355,0.815507384781185,mvf_adv_full
ca_typethyroid,0.19549157589671276,0.15867109385456776,-10.286927195595942,8.071102460310355e-25,0.1428822559153236,0.2663378474368092,mvf_adv_full
sex1,1.0072756940770755,0.010283868690872035,0.704924782464639,0.4808570466402268,0.9871762753763761,1.0277843473209696,mvf_surv_age
age,1.0498367948484064,0.00048412569942426163,100.45886567998153,0,1.0488411097891164,1.0508334251306937,mvf_surv_age
sex1,1.10525619953679,0.013502116399950642,7.411961200418963,1.2444517027262736e-13,1.0763907011824456,1.1348957820543748,mvf_surv_full
age,1.049263036082133,6.196541941551455e-4,77.60465078540653,0,1.0479894797497198,1.0505381400882232,mvf_surv_full
WIMD_2011_DECILE,0.9790571523981991,0.002068026005938974,-10.234523043415596,1.3887778963491432e-24,0.9750968141956999,0.9830335754431978,mvf_surv_full
SMOKING_STATUSNon_smoker,0.9289401342971887,0.014136118534094525,-5.214372182986107,1.844408250289751e-7,0.9035559306238287,0.9550374734547967,mvf_surv_full
SMOKING_STATUSSmoker,1.3507401333534264,0.015284070169297068,19.67098330589445,3.822948837015851e-86,1.3108771090749396,1.3918153694354656,mvf_surv_full
mm_count_no_ckd,1.0377546502645003,0.0028059966316348077,13.207210809175795,7.972417107406747e-40,1.0320630257988472,1.0434776629189058,mvf_surv_full
ca_typeadrenal,0.5441205243556024,0.20496172061369788,-2.9692593461781285,0.0029851853395189867,0.3641089674010065,0.8131278587790071,mvf_surv_full
ca_typebone,0.40883665932768576,0.17506470592495768,-5.109194134410724,3.2353578918978363e-7,0.29009115226584203,0.576189286383498,mvf_surv_full
ca_typebreast,0.12456014695543027,0.02983012711509524,-69.82761299085112,0,0.11748641766021672,0.13205977779005987,mvf_surv_full
ca_typedig,0.34281026963591077,0.021614703352969087,-49.530086863876946,0,0.32859076602979526,0.3576451109316618,mvf_surv_full
ca_typeendo,0.23664712912216768,0.4086950076270818,-3.5263096615619123,4.2139394389253325e-4,0.1062232094167402,0.5272092985070201,mvf_surv_full
ca_typefemale,0.26085069511579906,0.03202120993451462,-41.966155790334966,0,0.2449827441594985,0.2777464403700834,mvf_surv_full
ca_typeheadneck,0.23843464979425794,0.03656039795861214,-39.21346843320657,0,0.2219469089654352,0.25614721325704115,mvf_surv_full
ca_typekub,0.28506862918690345,0.028472775522968476,-44.07808162309908,0,0.26959594574295037,0.30142932276875767,mvf_surv_full
ca_typemale,0.15174897806133744,0.12028795857625015,-15.675114996875562,2.2381956022660393e-55,0.11987716925042906,0.1920945621810122,mvf_surv_full
ca_typemelanoma,0.11585273949680318,0.04556540430457777,-47.304208408771004,0,0.10595488032156097,0.12667521503663007,mvf_surv_full
ca_typeother,0.6107185074073896,0.032125144181632176,-15.349943059822065,3.544974082972693e-53,0.5734507286265043,0.6504082681754417,mvf_surv_full
ca_typeprostate,0.1106028156125225,0.02688484061340981,-81.89781610615032,0,0.10492567339296327,0.11658712711428776,mvf_surv_full
ca_typeresp,0.6996548107456712,0.021399121459727728,-16.690787691655842,1.5293956411486431e-62,0.6709170974194715,0.7296234603088445,mvf_surv_full
ca_typethyroid,0.1409131515253911,0.11936580055236069,-16.41685906631069,1.448745541140333e-60,0.11151856551587337,0.17805570024115389,mvf_surv_full
