term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
age,1.0456494421413385,7.335858910346809e-4,60.849272947552805,0,1.044147085663846,1.0471539602635038,sens_max_stage
sex1,1.1138236129757113,0.022845503277927212,4.718600024281193,2.3747320045517483e-6,1.065050726654423,1.1648300027166743,sens_max_stage
ckd_cateGFR >120,1.351461247802377,0.2521255977945792,1.1945887902128356,0.23224773109140445,0.8245061496185088,2.2152017970474063,sens_max_stage
ckd_cateGFR 105 - <120,1.5925734587121634,0.0651185554506158,7.146215577109316,8.92029344064622e-13,1.4017496578187387,1.8093745964176953,sens_max_stage
ckd_cateGFR 90 - <105,1.186163291848634,0.02851598251880094,5.986957448367528,2.1380268770112774e-9,1.1216868577336674,1.2543459390903025,sens_max_stage
ckd_cateGFR 60 - <75,1.078800092027719,0.024387218336843635,3.1102111172096145,0.001869536685618369,1.0284484712345914,1.1316168686234038,sens_max_stage
ckd_cateGFR 45 - <60,1.1926061168811881,0.027512892872867116,6.402123089623616,1.5323104971535094e-10,1.1299988867902535,1.2586820807075985,sens_max_stage
ckd_cateGFR 30 - <45,1.241558274991603,0.03232611131763869,6.693266069591222,2.1824379548421715e-11,1.1653357583667836,1.322766369377087,sens_max_stage
ckd_cateGFR <30,1.640825869700776,0.04722096070534174,10.48686190987495,9.927080598943871e-26,1.4957807508161616,1.7999359419555772,sens_max_stage
SMOKING_STATUSNon_smoker,0.9217345023862811,0.014149028432772902,-5.759975368417018,8.412621158200122e-9,0.8965245147087154,0.9476533869966981,sens_max_stage
SMOKING_STATUSSmoker,1.3184821115733827,0.015448013364919067,17.897522026446946,1.2328675159536412e-71,1.2791599963292082,1.3590130112946464,sens_max_stage
mm_count_no_ckd,1.0320439312631424,0.0028198877279935097,11.18528049668496,4.813808688352938e-29,1.0263556835709111,1.0377637042465822,sens_max_stage
WIMD_2011_DECILE,0.9803536701132576,0.0020681664315240446,-9.593949620675025,8.4776169055099e-22,0.976387818697345,0.984335629859438,sens_max_stage
ca_typeadrenal,0.4360060480359293,0.20504149270704378,-4.048444795870124,5.155909158611941e-5,0.2917164222910473,0.6516646283774997,sens_max_stage
ca_typebone,0.3652606514581733,0.17513785820468375,-5.7505788696829905,8.893840147697215e-9,0.25913452227816425,0.5148497480410439,sens_max_stage
ca_typebreast,0.2157678414972295,0.03029581811544604,-50.6192719852482,0,0.20332878703241605,0.22896788056356876,sens_max_stage
ca_typedig,0.5110771640662062,0.022202597298010104,-30.232259999529276,8.926633227928087e-201,0.48931394301814474,0.5338083481105095,sens_max_stage
ca_typeendo,0.17753205133710076,0.40874507462113163,-4.229051853546228,2.3467825643352807e-5,0.07968055179673528,0.39554983670746036,sens_max_stage
ca_typefemale,0.46952104950229334,0.03246176378358116,-23.290236245589547,5.567790370076187e-120,0.4405787676694904,0.5003645933548716,sens_max_stage
ca_typeheadneck,0.26563972386026624,0.03660528138303735,-36.213744567761275,3.699814639627243e-287,0.24724900246898604,0.2853983724420075,sens_max_stage
ca_typekub,0.43881134399893523,0.02883315867806978,-28.56730709908727,1.7124725617555487e-179,0.4147009374582458,0.4643235117874296,sens_max_stage
ca_typemale,0.2134374679158344,0.12035787092369106,-12.831827014598401,1.0876860375796472e-37,0.16858613517754065,0.2702212294169244,sens_max_stage
ca_typemelanoma,0.23653788306540494,0.04606190876151716,-31.29802781832682,4.963730767192941e-215,0.2161188947632729,0.25888606448014884,sens_max_stage
ca_typeother,0.5505460266002101,0.032210433159782684,-18.529546455770657,1.1928812525158217e-76,0.5168637357055772,0.5864232803864879,sens_max_stage
