model,term,estimate,std.error,or,lower,upper,p.value
abdo,(Intercept),1.285441391057882,0.772087697517792,3.62,0.8,16.42,0.09593
abdo,eGFR,-0.0032765567422675737,0.004884905740405458,1,0.99,1.01,0.50238
abdo,sex1,-0.8538001375885345,0.46809902779413964,0.43,0.17,1.07,0.06816
abdo,age,0.00534842082742929,0.0071646322816226035,1.01,0.99,1.02,0.45536
abdo,WIMD_2011_DECILE,-0.018879927625460476,0.021396418566171284,0.98,0.94,1.02,0.37757
abdo,SMOKING_STATUSNon_smoker,0.039976583277937947,0.14516842295662807,1.04,0.78,1.38,0.78302
abdo,SMOKING_STATUSSmoker,-0.3207354817647116,0.1641724561176504,0.73,0.53,1,0.05074
abdo,mm_count_no_ckd,0.038296399948042695,0.03186052542239238,1.04,0.98,1.11,0.22936
abdo,eGFR:sex1,0.013870737244732749,0.005905462905474945,1.01,1,1.03,0.01883
dig,(Intercept),0.9460876961067423,0.2846887245545754,2.58,1.47,4.5,8.9e-4
dig,eGFR,-0.0010802200206013047,0.002033233137945357,1,0.99,1,0.59522
dig,sex1,-0.10569986972977562,0.1780681969100658,0.9,0.63,1.28,0.55278
dig,age,-0.0025469268348939813,0.00251014086691859,1,0.99,1,0.31027
dig,WIMD_2011_DECILE,-0.0034484364198216198,0.007884963990795727,1,0.98,1.01,0.66186
dig,SMOKING_STATUSNon_smoker,-0.0036420731982301003,0.049998402924535425,1,0.9,1.1,0.94193
dig,SMOKING_STATUSSmoker,0.19393349083613873,0.06527133370772598,1.21,1.07,1.38,0.00297
dig,mm_count_no_ckd,-0.06633512393440971,0.011564147696443969,0.94,0.91,0.96,0
dig,eGFR:sex1,0.002757670070782297,0.0023396823646807973,1,1,1.01,0.23854
headneck,(Intercept),0.3073059221200869,0.7816568085221015,1.36,0.29,6.29,0.69421
headneck,eGFR,0.0029247062734700804,0.006069445073818261,1,0.99,1.01,0.6299
headneck,sex1,-0.09589134427169152,0.535856727333994,0.91,0.32,2.6,0.85798
headneck,age,4.799016358352875e-4,0.006173798726762012,1,0.99,1.01,0.93804
headneck,WIMD_2011_DECILE,-0.030688768218259374,0.019500838346487626,0.97,0.93,1.01,0.11555
headneck,SMOKING_STATUSNon_smoker,0.1536971658942873,0.1471962830669149,1.17,0.87,1.56,0.29641
headneck,SMOKING_STATUSSmoker,0.25475340791857437,0.13099476011028613,1.29,1,1.67,0.0518
headneck,mm_count_no_ckd,-0.03280551388302851,0.02704968179996526,0.97,0.92,1.02,0.22521
headneck,eGFR:sex1,0.0062276526263891924,0.006393930043480925,1.01,0.99,1.02,0.33006
kub,(Intercept),1.1677537551089026,0.4884804211991239,3.21,1.23,8.37,0.01682
kub,eGFR,-0.006273645535765244,0.0035438893216862472,0.99,0.99,1,0.07668
kub,sex1,-0.17406478367544986,0.2786523902563513,0.84,0.49,1.45,0.53219
kub,age,-0.014615272549223662,0.004604855669613639,0.99,0.98,0.99,0.0015
kub,WIMD_2011_DECILE,-1.7767673437350755e-4,0.015197132822282435,1,0.97,1.03,0.99067
kub,SMOKING_STATUSNon_smoker,0.1307501429284638,0.09921257434387745,1.14,0.94,1.38,0.18754
kub,SMOKING_STATUSSmoker,0.006697257493510606,0.11597476036316418,1.01,0.8,1.26,0.95395
kub,mm_count_no_ckd,-0.04287619017418852,0.021808125692866807,0.96,0.92,1,0.04929
kub,eGFR:sex1,-0.00218991878286647,0.003918538196980864,1,0.99,1.01,0.57626
melanoma,(Intercept),-4.498921699609948,1.0636994737180712,0.01,0,0.09,2e-5
melanoma,eGFR,0.01007360261316151,0.007965572371193963,1.01,0.99,1.03,0.206
melanoma,sex1,1.309659421200638,0.6952664055428168,3.7,0.95,14.47,0.05961
melanoma,age,0.019823807286169087,0.008565641551094065,1.02,1,1.04,0.02065
melanoma,WIMD_2011_DECILE,0.014584270756280307,0.02840348791397688,1.01,0.96,1.07,0.60762
melanoma,SMOKING_STATUSNon_smoker,-0.10172212348959035,0.18443009324642523,0.9,0.63,1.3,0.58126
melanoma,SMOKING_STATUSSmoker,0.6154311603657348,0.24899719902195758,1.85,1.14,3.01,0.01345
melanoma,mm_count_no_ckd,-0.02331898157538353,0.0455078856429773,0.98,0.89,1.07,0.60836
melanoma,eGFR:sex1,-0.013628641749795561,0.008785823500401697,0.99,0.97,1,0.12085
other,(Intercept),-2.119676860742091,1.4778901012487897,0.12,0.01,2.17,0.1515
other,eGFR,0.004608037579777381,0.01121585021357238,1,0.98,1.03,0.68118
other,sex1,-0.7334680455826278,0.9936980242287743,0.48,0.07,3.37,0.46044
other,age,0.045278628601434084,0.01298729909525984,1.05,1.02,1.07,4.9e-4
other,WIMD_2011_DECILE,-0.07459335209334154,0.04081554744501316,0.93,0.86,1.01,0.06761
other,SMOKING_STATUSNon_smoker,-0.3303914417714478,0.24725512822338924,0.72,0.44,1.17,0.18147
other,SMOKING_STATUSSmoker,-0.12227939800687591,0.3303671329224741,0.88,0.46,1.69,0.71128
other,mm_count_no_ckd,-0.114014946868074,0.05599156398415966,0.89,0.8,1,0.04172
other,eGFR:sex1,0.008556671867526454,0.012479661691474185,1.01,0.98,1.03,0.49293
resp,(Intercept),1.340918858032006,0.3499594370278875,3.82,1.93,7.59,1.3e-4
resp,eGFR,0.002324202912685932,0.0021079568782586384,1,1,1.01,0.27021
resp,sex1,0.377726512189171,0.2017910197778422,1.46,0.98,2.17,0.06122
resp,age,-0.003217621238097255,0.0034098410863642116,1,0.99,1,0.34536
resp,WIMD_2011_DECILE,0.005735157094972992,0.009641604485405863,1.01,0.99,1.02,0.55195
resp,SMOKING_STATUSNon_smoker,-0.15455597527940212,0.08703370255339861,0.86,0.72,1.02,0.07576
resp,SMOKING_STATUSSmoker,0.040956989169771564,0.060388345589264675,1.04,0.93,1.17,0.49763
resp,mm_count_no_ckd,-0.0722929185011389,0.012570869151231338,0.93,0.91,0.95,0
resp,eGFR:sex1,-0.0016791904339439109,0.0026412633857084565,1,0.99,1,0.52494
thyroid,(Intercept),-1.4081342615189971,1.9848747054708462,0.24,0,11.97,0.47806
thyroid,eGFR,-0.027850589435641695,0.01454525726788194,0.97,0.95,1,0.05552
thyroid,sex1,0.792010096881448,1.9608353847275846,2.21,0.05,103.05,0.68628
thyroid,age,0.05475979892884038,0.016137565997935435,1.06,1.02,1.09,6.9e-4
thyroid,WIMD_2011_DECILE,-0.010934794771733033,0.05961081422014493,0.99,0.88,1.11,0.85446
thyroid,SMOKING_STATUSNon_smoker,0.6402407721530687,0.45347452390914367,1.9,0.78,4.61,0.15799
thyroid,SMOKING_STATUSSmoker,0.08664095826661049,0.5462044860423139,1.09,0.37,3.18,0.87397
thyroid,mm_count_no_ckd,-0.10825528216926539,0.09925451847867402,0.9,0.74,1.09,0.27541
thyroid,eGFR:sex1,0.0011415089489236003,0.021410465228860094,1,0.96,1.04,0.95748
