term,estimate,std.error,statistic,p.value,sex,model
ckd_cat2eGFR >=105,0.23378216737768126,0.1404696324142593,1.6642897355083393,0.09605454266883431,male,abdo
ckd_cat2eGFR 90 - <105,0.035566274670881214,0.07305572724070467,0.48683759664313697,0.6263734246711691,male,abdo
ckd_cat2eGFR 60 - <75,0.061501924284626745,0.07072797843611069,0.8695558058425502,0.3845431982696368,male,abdo
ckd_cat2eGFR 45 - <60,0.11845558837111665,0.08402665549109016,1.4097382274566097,0.15861699258591944,male,abdo
ckd_cat2eGFR <45,0.08012987518340126,0.09164897905666992,0.8743127965872267,0.3819479323626858,male,abdo
age,0.03310439300477094,0.003241362796951402,10.213109447639312,1.73222899691483e-24,male,abdo
WIMD_2011_DECILE,-0.00860480431819715,0.00881901426190421,-0.9757104436680196,0.32920797535015234,male,abdo
SMOKING_STATUSNon_smoker,-0.04971282571937528,0.05667277565919988,-0.8771905935633352,0.3803831243923524,male,abdo
SMOKING_STATUSSmoker,0.17266566322847576,0.06561113197963923,2.6316519471430277,0.008497086166288545,male,abdo
mm_count_no_ckd,0.008487805956860696,0.011729888081663203,0.7236050248535018,0.4693082556222814,male,abdo
stage_simplified2,0.11300331965689746,0.19145792993129046,0.5902253288618109,0.5550395931320432,male,abdo
stage_simplified3,0.5106500571408872,0.19081234227900487,2.676189868233037,0.007446444674252975,male,abdo
stage_simplified4,1.2678582705676704,0.1667885673227597,7.601589790708997,2.925147018894472e-14,male,abdo
stage_simplifiedUnknown,0.723827516837801,0.16465021176787292,4.396152966133243,1.1018629820268718e-5,male,abdo
ckd_cat2eGFR >=105,0.7873558743959977,0.11011265585335565,7.1504575772341,8.648910905611689e-13,male,dig
ckd_cat2eGFR 90 - <105,0.1081853375568675,0.05034784854405445,2.14875790496202,0.0316535958828309,male,dig
ckd_cat2eGFR 60 - <75,0.011375473082511356,0.04234535318405453,0.26863568791285647,0.7882100464560594,male,dig
ckd_cat2eGFR 45 - <60,0.13529365759003903,0.04960081507519026,2.7276498860945395,0.006378727091405107,male,dig
ckd_cat2eGFR <45,0.20777767761547467,0.05393826883076138,3.8521384189656747,1.1709079982247918e-4,male,dig
age,0.04432794608057921,0.002015489080300894,21.99364239371689,3.312988206542995e-107,male,dig
WIMD_2011_DECILE,-0.02270330071160362,0.005406015914578638,-4.199636307096071,2.6734405144007595e-5,male,dig
SMOKING_STATUSNon_smoker,-0.031825046256917046,0.03468133998334448,-0.9176417714021674,0.35880644153789276,male,dig
SMOKING_STATUSSmoker,0.3536760731304792,0.043356529376494556,8.157388938105878,3.423446109709206e-16,male,dig
