model,term,estimate,std.error,or,lower,upper,p.value
abdo,eGFR,-0.00582984322789232,0.001470892891374283,0.99,0.99,1,7e-5
abdo,sex1,-0.26701194302386866,0.13346204302234657,0.77,0.59,0.99,0.04543
abdo,age,0.02977481915617577,0.0022026722558893216,1.03,1.03,1.03,0
abdo,WIMD_2011_DECILE,-0.008757163565031385,0.006360583255852757,0.99,0.98,1,0.16858
abdo,SMOKING_STATUSNon_smoker,-0.02095482338873371,0.04152267472040257,0.98,0.9,1.06,0.6138
abdo,SMOKING_STATUSSmoker,0.17125337146000297,0.049703765768140146,1.19,1.08,1.31,5.7e-4
abdo,mm_count_no_ckd,0.011307961777909655,0.008684141101739476,1.01,0.99,1.03,0.19287
abdo,stage_simplified2,0.09810964236981114,0.13166300781073556,1.1,0.85,1.43,0.45618
abdo,stage_simplified3,0.47853326652811956,0.13052283462844394,1.61,1.25,2.08,2.5e-4
abdo,stage_simplified4,1.244928298963092,0.11370750095342994,3.47,2.78,4.34,0
abdo,stage_simplifiedUnknown,0.7500232530139823,0.11265077942005389,2.12,1.7,2.64,0
abdo,eGFR:sex1,0.004256887143372577,0.0017654587468448949,1,1,1.01,0.0159
dig,eGFR,-0.004783717451653812,0.00108627452146902,1,0.99,1,1e-5
dig,sex1,-0.1854306451045363,0.09161400378505408,0.83,0.69,0.99,0.04297
dig,age,0.04172244509723105,0.001463832938827282,1.04,1.04,1.05,0
dig,WIMD_2011_DECILE,-0.027436520100520778,0.004210207800285722,0.97,0.96,0.98,0
dig,SMOKING_STATUSNon_smoker,-0.038961279078995575,0.02715067099221576,0.96,0.91,1.01,0.15129
dig,SMOKING_STATUSSmoker,0.3760103254043816,0.034035204652007094,1.46,1.36,1.56,0
dig,mm_count_no_ckd,0.04674080318337004,0.005952217909019183,1.05,1.04,1.06,0
dig,stage_simplified2,0.5045209160723749,0.05870996188911239,1.66,1.48,1.86,0
dig,stage_simplified3,0.8518338109679379,0.05539762320001669,2.34,2.1,2.61,0
dig,stage_simplified4,2.1777324779002534,0.05487890333562306,8.83,7.93,9.83,0
dig,stage_simplifiedUnknown,1.4512935049513351,0.057811781433598594,4.27,3.81,4.78,0
dig,eGFR:sex1,0.003459161042697515,0.0012597968537742543,1,1,1.01,0.00604
headneck,eGFR,-0.0011612457021776298,0.003723743337976384,1,0.99,1.01,0.75516
headneck,sex1,-0.33676299850334834,0.32178421737147733,0.71,0.38,1.34,0.29531
headneck,age,0.047345499352752306,0.003953204934733435,1.05,1.04,1.06,0
headneck,WIMD_2011_DECILE,-0.029429310800613034,0.01137053601312948,0.97,0.95,0.99,0.00965
headneck,SMOKING_STATUSNon_smoker,-0.26862980664575437,0.09485103427243623,0.76,0.63,0.92,0.00462
headneck,SMOKING_STATUSSmoker,0.4338550595182535,0.07714313353761063,1.54,1.33,1.8,0
headneck,mm_count_no_ckd,0.08855320896561107,0.014910015832982161,1.09,1.06,1.12,0
headneck,stage_simplified2,0.2935298300411831,0.14748663691715197,1.34,1,1.79,0.04657
headneck,stage_simplified3,0.6082310509025738,0.14579641599219736,1.84,1.38,2.44,3e-5
headneck,stage_simplified4,1.1873961327740714,0.11458834719566893,3.28,2.62,4.1,0
headneck,stage_simplifiedUnknown,0.9764388175971487,0.13359091045453117,2.65,2.04,3.45,0
headneck,eGFR:sex1,0.004419751504626495,0.003953902983537482,1,1,1.01,0.26364
kub,eGFR,-0.005186722995002575,0.0018245191464713664,0.99,0.99,1,0.00447
kub,sex1,0.16743311794905172,0.13414379718226874,1.18,0.91,1.54,0.21197
kub,age,0.040525947517238196,0.0027161680211774575,1.04,1.04,1.05,0
kub,WIMD_2011_DECILE,-0.020835198977474684,0.007778437265422963,0.98,0.96,0.99,0.00739
kub,SMOKING_STATUSNon_smoker,-0.016953793967777592,0.050648386365679754,0.98,0.89,1.09,0.73782
kub,SMOKING_STATUSSmoker,0.1950634394273752,0.06225799934662579,1.22,1.08,1.37,0.00173
kub,mm_count_no_ckd,0.05222197071717006,0.010721419942367697,1.05,1.03,1.08,0
kub,stage_simplified2,0.8279906894026926,0.07060141395860346,2.29,1.99,2.63,0
kub,stage_simplified3,0.7008694233847363,0.08782984009853706,2.02,1.7,2.39,0
kub,stage_simplified4,1.9194769563668896,0.06868803206343613,6.82,5.96,7.8,0
kub,stage_simplifiedUnknown,0.8693263075444273,0.06579510142502955,2.39,2.1,2.71,0
kub,eGFR:sex1,-0.0017282109535726997,0.002082275122792056,1,0.99,1,0.40656
melanoma,eGFR,-1.7012489950994487e-4,0.0038683879150808198,1,0.99,1.01,0.96492
melanoma,sex1,0.3049729527343782,0.3259315040437018,1.36,0.72,2.57,0.34943
melanoma,age,0.057045962830623624,0.005022655836691693,1.06,1.05,1.07,0
melanoma,WIMD_2011_DECILE,-0.02751100254876234,0.014413143631295387,0.97,0.95,1,0.0563
melanoma,SMOKING_STATUSNon_smoker,-0.20483443904460608,0.09211720133672065,0.81,0.68,0.98,0.02617
melanoma,SMOKING_STATUSSmoker,0.5510247105905741,0.13811961918332957,1.74,1.32,2.27,7e-5
melanoma,mm_count_no_ckd,0.13416370986626067,0.02080016383888038,1.14,1.1,1.19,0
melanoma,stage_simplified2,0.9706939591226461,0.1051160950905843,2.64,2.15,3.24,0
melanoma,stage_simplified3,1.0642846600153837,0.1706183705221699,2.9,2.07,4.05,0
melanoma,stage_simplified4,2.109466195722446,0.15905303122110814,8.24,6.04,11.26,0
melanoma,stage_simplifiedUnknown,0.576382691280811,0.13958172994589776,1.78,1.35,2.34,4e-5
melanoma,eGFR:sex1,-9.219888134784372e-4,0.004548867201483695,1,0.99,1.01,0.83938
other,eGFR,-0.005954880083852986,0.0028505872987153284,0.99,0.99,1,0.03671
other,sex1,-0.12267956582692353,0.2301012950726651,0.88,0.56,1.39,0.59393
other,age,0.030909552203173027,0.002953926782143651,1.03,1.03,1.04,0
other,WIMD_2011_DECILE,-0.005291267253123537,0.009394645684954678,0.99,0.98,1.01,0.57328
other,SMOKING_STATUSNon_smoker,0.023048944937759046,0.060096451602517385,1.02,0.91,1.15,0.70132
other,SMOKING_STATUSSmoker,0.1679570260800703,0.08316526160458647,1.18,1,1.39,0.04343
other,mm_count_no_ckd,0.03350005058784792,0.014054441535098177,1.03,1.01,1.06,0.01714
other,stage_simplified2,0.20154751359105705,0.21131725870922952,1.22,0.81,1.85,0.3402
other,stage_simplified3,0.5110019319446752,0.1897811786007711,1.67,1.15,2.42,0.00709
other,stage_simplified4,0.9904950590957959,0.17416470979881088,2.69,1.91,3.79,0
other,stage_simplifiedUnknown,0.728357371747876,0.1541289832691949,2.07,1.53,2.8,0
other,eGFR:sex1,0.0031707506001689536,0.0030324932992078207,1,1,1.01,0.29575
resp,eGFR,-0.0019628445837033695,9.436497116617177e-4,1,1,1,0.03752
resp,sex1,-0.05872402562782692,0.08817026392290474,0.94,0.79,1.12,0.50539
resp,age,0.031204445199439837,0.0014822395090658257,1.03,1.03,1.03,0
