model,term,estimate,std.error,or,lower,upper,p.value
abdo,ckd_cat2eGFR >=105,0.5035202593733531,0.19542418030648245,1.65,1.13,2.43,0.00998
abdo,ckd_cat2eGFR 90 - <105,0.0809912785109603,0.0869218441313876,1.08,0.91,1.29,0.35145
abdo,ckd_cat2eGFR 60 - <75,0.07541766293403344,0.07310143226831571,1.08,0.93,1.24,0.30222
abdo,ckd_cat2eGFR 45 - <60,0.19760749103474304,0.08249225408037568,1.22,1.04,1.43,0.0166
abdo,ckd_cat2eGFR <45,0.3245242652355469,0.0872590181717882,1.38,1.17,1.64,2e-4
abdo,sex1,0.09285304240807075,0.06666422329348126,1.1,0.96,1.25,0.16367
abdo,age,0.0333056995587364,0.0023268135095176616,1.03,1.03,1.04,0
abdo,WIMD_2011_DECILE,-0.008912934274073418,0.006385035355169153,0.99,0.98,1,0.16274
abdo,SMOKING_STATUSNon_smoker,-0.020295663524354884,0.04164759537874243,0.98,0.9,1.06,0.62603
abdo,SMOKING_STATUSSmoker,0.15815233285697583,0.05029480072717292,1.17,1.06,1.29,0.00166
abdo,mm_count_no_ckd,0.012052182253731517,0.008717416528574936,1.01,0.99,1.03,0.16681000000000001
abdo,stage_simplified2,0.10752487529588402,0.13184569194778265,1.11,0.86,1.44,0.41477
abdo,stage_simplified3,0.4826762850005294,0.13098592399472733,1.62,1.25,2.09,2.3e-4
abdo,stage_simplified4,1.2567827288008067,0.1138392364580415,3.51,2.81,4.39,0
abdo,stage_simplifiedUnknown,0.7581508491723828,0.11267415694214114,2.13,1.71,2.66,0
abdo,ckd_cat2eGFR >=105:sex1,-0.2505436934127801,0.22839637449911085,0.78,0.5,1.22,0.27266
abdo,ckd_cat2eGFR 90 - <105:sex1,-0.03322697431040946,0.10646003061415905,0.97,0.79,1.19,0.75496
abdo,ckd_cat2eGFR 60 - <75:sex1,-0.014871866642725854,0.10142778156595517,0.99,0.81,1.2,0.88343
abdo,ckd_cat2eGFR 45 - <60:sex1,-0.08463106844162893,0.11629689532401771,0.92,0.73,1.15,0.46679
abdo,ckd_cat2eGFR <45:sex1,-0.2535871995722592,0.12248900775757449,0.78,0.61,0.99,0.03843
dig,ckd_cat2eGFR >=105,0.6385847476120322,0.151621006574716,1.89,1.41,2.55,3e-5
dig,ckd_cat2eGFR 90 - <105,0.12037339592235337,0.06690879198488346,1.13,0.99,1.29,0.07201
dig,ckd_cat2eGFR 60 - <75,0.11602366858958464,0.05180410334250667,1.12,1.01,1.24,0.02511
dig,ckd_cat2eGFR 45 - <60,0.15248429954318063,0.05977659708255497,1.16,1.04,1.31,0.01074
dig,ckd_cat2eGFR <45,0.3487329091857734,0.06360915447039964,1.42,1.25,1.61,0
dig,sex1,0.1076607063612177,0.04574299312677897,1.11,1.02,1.22,0.01859
dig,age,0.045902603094226016,0.0015226597729959615,1.05,1.04,1.05,0
dig,WIMD_2011_DECILE,-0.027266290533483513,0.004215104542327153,0.97,0.97,0.98,0
dig,SMOKING_STATUSNon_smoker,-0.042745235566338455,0.02719240836265867,0.96,0.91,1.01,0.11596
dig,SMOKING_STATUSSmoker,0.349768844229835,0.03447254512352587,1.42,1.33,1.52,0
dig,mm_count_no_ckd,0.04390518127146066,0.005985956710482271,1.04,1.03,1.06,0
dig,stage_simplified2,0.49985112517011115,0.05873826924652252,1.65,1.47,1.85,0
dig,stage_simplified3,0.848125526314495,0.05543217085043695,2.34,2.09,2.6,0
dig,stage_simplified4,2.1729819025087944,0.05496355059018969,8.78,7.89,9.78,0
dig,stage_simplifiedUnknown,1.4283366935765105,0.057920106333101275,4.17,3.72,4.67,0
dig,ckd_cat2eGFR >=105:sex1,0.16632451425873246,0.17872150117090949,1.18,0.83,1.68,0.35204
dig,ckd_cat2eGFR 90 - <105:sex1,-0.003845427243074501,0.08023418768617334,1,0.85,1.17,0.96177
dig,ckd_cat2eGFR 60 - <75:sex1,-0.11384769273815598,0.06656757181932042,0.89,0.78,1.02,0.08722
