term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
sex1,1.0072756940770755,0.010283868690872035,0.704924782464639,0.4808570466402268,0.9871762753763761,1.0277843473209696,mvf5
age,1.0498367948484064,0.00048412569942426163,100.45886567998153,0,1.0488411097891164,1.0508334251306937,mvf5
age,1.0547854084713342,6.148687046619132e-4,86.74590451846859,0,1.0535150305682166,1.0560573182557917,mvf6
sex1,0.9778826040102949,0.019190795227329655,-1.1654364859123403,0.24384235562726822,0.9417843857831513,1.0153644524810965,mvf6
ckd_cateGFR >120,1.9043188582436243,0.20608157652923856,3.1255796891751144,0.0017745498297068267,1.271518584581217,2.8520466455130027,mvf6
ckd_cateGFR 105 - <120,1.9153996644841278,0.05520324644193736,11.77333480960101,5.356439278717945e-32,1.7189779998308448,2.1342657527129094,mvf6
ckd_cateGFR 90 - <105,1.306728744408373,0.024977475716123642,10.710724955639511,9.064914468696976e-27,1.2442985029260725,1.3722913010404334,mvf6
ckd_cateGFR 60 - <75,1.0296779294686804,0.021262114430556242,1.3755011808995528,0.1689761198610514,0.9876499802437602,1.0734943144262847,mvf6
ckd_cateGFR 45 - <60,1.1286201885542742,0.024293965491393645,4.9804884499118165,6.342398799186542e-7,1.0761399486978955,1.183659738265022,mvf6
ckd_cateGFR 30 - <45,1.2006467687760987,0.028646169186809164,6.383414982549645,1.7318176078171e-10,1.1350933856773642,1.269985960240834,mvf6
ckd_cateGFR <30,1.6960863704762066,0.04189479757384634,12.610717622638019,1.843071106487527e-36,1.5623813561431057,1.8412335533858362,mvf6
sex1:ckd_cateGFR >120,3.3195268383291334,0.23436395893446754,5.119482789295217,3.063747263549529e-7,2.096936217549675,5.2549325717039235,mvf6
sex1:ckd_cateGFR 105 - <120,1.7761867396590512,0.06836194748851412,8.403341425336722,4.33950658869529e-17,1.5534555400960868,2.0308526718090123,mvf6
sex1:ckd_cateGFR 90 - <105,1.1012365573387874,0.031861732901509225,3.0266304648911024,0.0024729607690734934,1.0345699596918905,1.172199080263794,mvf6
sex1:ckd_cateGFR 60 - <75,0.9907392762582541,0.028794958326693,-0.32310763318661034,0.7466137296123686,0.9363733984487872,1.0482616391567787,mvf6
sex1:ckd_cateGFR 45 - <60,1.0107588038042101,0.03247058341288598,0.3295702924280344,0.7417246727535065,0.9484370740745054,1.0771756897679667,mvf6
sex1:ckd_cateGFR 30 - <45,1.0417422514344543,0.038421147103687006,1.0643761664512505,0.28715832618698406,0.9661757637168624,1.123218941291671,mvf6
sex1:ckd_cateGFR <30,0.8913679952399242,0.055200591905077645,-2.083273368490056,0.03722631279295553,0.7999635658010646,0.9932163624757221,mvf6
age,1.0567237488025114,7.351980065562702e-4,75.04552272820514,0,1.0552021469916937,1.0582475447635944,mvf7
sex1,1.0029148996254014,0.021880754823627727,0.1330237264007218,0.8941746162969832,0.9608136207342037,1.0468609875888517,mvf7
ckd_cateGFR >120,1.676600525593506,0.251985972652518,2.050781800548467,0.04028820066840933,1.0231486820960225,2.747390845152463,mvf7
ckd_cateGFR 105 - <120,1.7929184916983032,0.06521023998197549,8.953267685804565,3.4511166921659465e-19,1.5778055869167686,2.037359193381593,mvf7
ckd_cateGFR 90 - <105,1.2275119572172275,0.028564999300380877,7.17624109132017,7.165415204695164e-13,1.1606764154114326,1.298196107979973,mvf7
ckd_cateGFR 60 - <75,1.0359958762982224,0.0243806671807095,1.4504592167284225,0.14693050415172643,0.9876547692125038,1.0867030557273534,mvf7
ckd_cateGFR 45 - <60,1.1683851054886496,0.02756178873347843,5.646315091179705,1.6392329315266756e-8,1.1069432972283089,1.2332372924122452,mvf7
ckd_cateGFR 30 - <45,1.2019195302830505,0.032356061719963115,5.684248254434426,1.3138930498005767e-8,1.1280643188410022,1.2806100974455543,mvf7
ckd_cateGFR <30,1.6730724325560535,0.04714110498985491,10.917472473138421,9.510565917136307e-28,1.5254155246247538,1.8350222083045966,mvf7
SMOKING_STATUSNon_smoker,0.7931209887537217,0.01394038539451916,-16.626477065570903,4.48183651436223e-62,0.7717441843059321,0.8150899165730792,mvf7
SMOKING_STATUSSmoker,1.6258698325467125,0.015114483099693436,32.157431447106006,6.953310303397671e-227,1.5784117368527713,1.6747548505032734,mvf7
mm_count_no_ckd,1.0491032245227194,0.002818301750807107,17.008727807585384,7.075760858379885e-65,1.043324195386364,1.0549142640139644,mvf7
WIMD_2011_DECILE,0.9704965880693568,0.0020616755185548547,-14.525754296354298,8.322115024990168e-48,0.9665829085227089,0.9744261140451718,mvf7
sex1:ckd_cateGFR >120,2.575985994165104,0.28699464621507137,3.2970384070179475,9.771013874692856e-4,1.4677537939626788,4.520992464423845,mvf7
sex1:ckd_cateGFR 105 - <120,1.4325012093676819,0.08103376767011898,4.435459737048194,9.18760030467682e-6,1.2221342892038374,1.6790787501565736,mvf7
sex1:ckd_cateGFR 90 - <105,1.061772600926175,0.03626069930584822,1.6530231798564972,0.09832614611724876,0.988931819835829,1.1399785439856571,mvf7
sex1:ckd_cateGFR 60 - <75,0.9978458242122714,0.03261218234793733,-0.06612557659919135,0.9472778482296389,0.9360604678183788,1.0637093682830963,mvf7
sex1:ckd_cateGFR 45 - <60,0.9335688892582062,0.03652943581659005,-1.8817843868935213,0.0598652965295491,0.8690653974557991,1.0028599384376344,mvf7
sex1:ckd_cateGFR 30 - <45,0.9692399771685378,0.04283177058033872,-0.7294361842309615,0.46573489062312046,0.8911952220949635,1.0541193557269373,mvf7
sex1:ckd_cateGFR <30,0.8485373189194837,0.06154615182289612,-2.668586226492456,0.007617122392975064,0.7521124331744208,0.9573243970454193,mvf7
age,1.050446107085605,7.454710404826349e-4,66.01857772974579,0,1.048912424771435,1.0519820318953212,mvf8
sex1,1.1307915469743628,0.02290512186770966,5.3663923841069,8.03270909548155e-8,1.081149316916606,1.1827131578415488,mvf8
ckd_cateGFR >120,1.5048944815313698,0.25220524653827237,1.620595881384922,0.10510433611684121,0.9179701400002921,2.467081772989751,mvf8
ckd_cateGFR 105 - <120,1.8423028635118524,0.06516522469069955,9.3764173795732,6.825248189812685e-21,1.6214079097337728,2.093291774715261,mvf8
ckd_cateGFR 90 - <105,1.2143504797457974,0.02854233155589944,6.804256649444369,1.015723223762205e-11,1.1482825684738265,1.2842196930837246,mvf8
ckd_cateGFR 60 - <75,1.068298624653096,0.024355581674740064,2.712614850871349,0.006675464412099814,1.0185002983826272,1.1205317791737661,mvf8
ckd_cateGFR 45 - <60,1.230106890596916,0.02748422151685314,7.535271406752951,4.873201753783169e-14,1.16559651290044,1.2981876194264668,mvf8
ckd_cateGFR 30 - <45,1.3033243258174756,0.03231081542213574,8.19905566314813,2.422827283287825e-16,1.223346504093391,1.3885307985789619,mvf8
ckd_cateGFR <30,1.74132970983988,0.04714833708332554,11.763914842864075,5.98914559576927e-32,1.587626255771027,1.9099137138535451,mvf8
SMOKING_STATUSNon_smoker,0.923519185203127,0.01415307527420702,-5.621654910236746,1.8913679013043245e-8,0.8982532607166396,0.9494957855847931,mvf8
SMOKING_STATUSSmoker,1.3328455430871864,0.015426380381843336,18.62498886443753,2.0153427315058042e-77,1.2931498842996438,1.3737597345024686,mvf8
mm_count_no_ckd,1.0324850077385765,0.0028260924753276528,11.311917666061577,1.1455799359158866e-29,1.0267818421411636,1.0382198510463818,mvf8
WIMD_2011_DECILE,0.9805443178265114,0.0020715551810993583,-9.484388992058854,2.4380719513173322e-21,0.9765712089395288,0.9845335910178309,mvf8
ca_typeadrenal,0.5451760095984348,0.20501782920151157,-2.9589942759037764,0.0030864483433809347,0.36477514931812827,0.8147947632870777,mvf8
ca_typebone,0.3941733958910853,0.17511172427558944,-5.316402309742645,1.0583900315791005e-7,0.27966102107319063,0.555574979423562,mvf8
ca_typebreast,0.1258627270199836,0.029878506956136433,-69.36636549712628,0,0.11870376828542671,0.13345343860369904,mvf8
ca_typedig,0.3459535022265431,0.02165645147972602,-49.01314975711901,0,0.33157648747694557,0.3609538981895764,mvf8
ca_typeendo,0.24339285772864439,0.40873369840058577,-3.4572105215436446,5.45798284584467e-4,0.10924286339529735,0.5422787480309335,mvf8
ca_typefemale,0.26320294159618923,0.0320999976638293,-41.58348911097331,0,0.24715373114991984,0.2802943258941347,mvf8
ca_typeheadneck,0.23874452263928872,0.03657166637167351,-39.16587303276029,0,0.22223044595744013,0.25648577018640306,mvf8
ca_typekub,0.2775931781071744,0.028623465861116353,-44.77440402960837,0,0.26244871501907696,0.2936115443584482,mvf8
ca_typemale,0.14214360325772143,0.12041601096938519,-16.201478741388822,4.922890377303604e-59,0.11226103088413399,0.17998056661302303,mvf8
ca_typemelanoma,0.11705851020626319,0.045594564045468994,-47.04686681101142,0,0.10705151782702257,0.12800093907917398,mvf8
ca_typeother,0.6168034887496578,0.03216245301445295,-15.023878941166608,5.122056445498483e-51,0.5791220378656882,0.6569367402004889,mvf8
ca_typeprostate,0.11270991976798246,0.026970436439438496,-80.93817270902727,0,0.1069066851266971,0.11882817242953385,mvf8
ca_typeresp,0.7105598010411671,0.021425716134537375,-15.94822620143068,2.931042351234034e-57,0.6813386592814474,0.7410341743827292,mvf8
ca_typethyroid,0.13767295262038515,0.11944683881459217,-16.600475447732236,6.914109029118762e-62,0.10893697040242285,0.1739890673771965,mvf8
sex1:ckd_cateGFR >120,2.0674783794010883,0.287110381068575,2.5297925062629845,0.011412999830029205,1.177747462443312,3.629357723618692,mvf8
sex1:ckd_cateGFR 105 - <120,1.1002426490344044,0.08113520236364478,1.1774266006145278,0.2390252778094181,0.9384822568432358,1.2898846812790106,mvf8
sex1:ckd_cateGFR 90 - <105,0.9708441210364134,0.03627581683837332,-0.8156772367855276,0.41468476155324646,0.9042145139440781,1.0423835194147948,mvf8
sex1:ckd_cateGFR 60 - <75,0.9914778434732952,0.03261240862126885,-0.2624362353323756,0.7929851395989622,0.9300863719428178,1.0569215330454202,mvf8
sex1:ckd_cateGFR 45 - <60,0.925007670349951,0.03653531830857951,-2.1336408944210454,0.03287218774521071,0.8610857747434513,0.9936747479787014,mvf8
sex1:ckd_cateGFR 30 - <45,0.9225341068698417,0.04284268795945799,-1.8820231730226822,0.05983286937973494,0.8482320328828967,1.003344775185626,mvf8
sex1:ckd_cateGFR <30,0.8931026050616582,0.06156780121889073,-1.8362488700700212,0.06632085792979572,0.7915798831953867,1.0076459497026398,mvf8
age,1.0478375958305097,7.405693078842277e-4,63.09822400462115,0,1.0463177741758316,1.049359625091633,mvf9
sex1,1.1119775574870308,0.02284744571145346,4.645596485892567,3.3909523942566867e-6,1.0632814595065798,1.1629038363262938,mvf9
ckd_cateGFR >120,1.5887559282072878,0.25218035345122536,1.8357943770977605,0.06638807339900119,0.9691720433902318,2.604434802498185,mvf9
