model,sex,term,ckd_cat,estimate,std.error,statistic,p.value,sex_name,or,lower,upper
mod1,1,ckd_cat,>120,1.8237968638772402,0.11637673109788307,15.671490741076637,0,Male,6.2,4.93,7.78
mod1,1,ckd_cat,105 - <120,1.2086996645651706,0.04653404671711214,25.974522953334528,0,Male,3.35,3.06,3.67
mod1,1,ckd_cat,90 - <105,0.35646363160210165,0.022160774013115548,16.085342118065622,0,Male,1.43,1.37,1.49
mod1,1,ckd_cat,60 - <75,0.022195717486592936,0.019641672721186006,1.1300319377917378,0.25846,Male,1.02,0.98,1.06
mod1,1,ckd_cat,45 - <60,0.1390344215176168,0.022909004191501856,6.0689858169039015,0,Male,1.15,1.1,1.2
mod1,1,ckd_cat,30 - <45,0.2336493420103005,0.027633388687363373,8.45532716431363,0,Male,1.26,1.2,1.33
mod1,1,ckd_cat,<30,0.4251864035342336,0.03771267189581459,11.27436434917308,0,Male,1.53,1.42,1.65
mod1,2,ckd_cat,>120,0.6761183532868472,0.2074117377282359,3.259788287260486,0.00111,Female,1.97,1.31,2.95
mod1,2,ckd_cat,105 - <120,0.6698355512926976,0.057157171855264664,11.719186403919318,0,Female,1.95,1.75,2.19
mod1,2,ckd_cat,90 - <105,0.27640057256776795,0.02578870447308525,10.71789289982509,0,Female,1.32,1.25,1.39
mod1,2,ckd_cat,60 - <75,0.02545215526457196,0.021385066088828997,1.1901836149979215,0.23397,Female,1.03,0.98,1.07
mod1,2,ckd_cat,45 - <60,0.11270179667945403,0.024765727460687725,4.55071618059082,1e-5,Female,1.12,1.07,1.17
mod1,2,ckd_cat,30 - <45,0.1724380365036459,0.029381940751738864,5.868844334029935,0,Female,1.19,1.12,1.26
mod1,2,ckd_cat,<30,0.5139561229082369,0.04253006972096692,12.08453516018718,0,Female,1.67,1.54,1.82
mod2,1,ckd_cat,>120,1.7900490054501152,0.13089887213778986,13.675052933732168,0,Male,5.99,4.63,7.74
mod2,1,ckd_cat,105 - <120,1.1603955976747213,0.04953639543716613,23.425111727126207,0,Male,3.19,2.9,3.52
