model,term,estimate,std.error,or,lower,upper,p.value
m1,neg_egfr_10,0.05553903448982778,0.00563357380723788,1.06,1.05,1.07,0
m1,neg_age10,-0.486276813526348,0.011760212651891783,0.61,0.6,0.63,0
m2,neg_egfr_10,0.19848005727807805,0.05327491956761553,1.22,1.1,1.35,1.9e-4
m2,neg_age10,-0.36845382288586176,0.04520372677490698,0.69,0.63,0.76,0
m2,neg_egfr_10:neg_age10,0.01810679674170275,0.006719247334844161,1.02,1,1.03,0.00704
m3,high_egfr10,0.18657054485800006,0.016442872072869673,1.21,1.17,1.24,0
m3,neg_age10,-0.5097108059891815,0.01525383787650544,0.6,0.58,0.62,0
m4,high_egfr10,0.5080080659939981,0.06638905900920498,1.66,1.46,1.89,0
m4,neg_age10,-0.9725534119708423,0.09477926668811813,0.38,0.31,0.46,0
m4,high_egfr10:neg_age10,0.05211983355542745,0.010511839191650834,1.05,1.03,1.08,0
f1,neg_egfr_10,0.07613668659875618,0.006397045846890526,1.08,1.07,1.09,0
f1,neg_age10,-0.45593140825472245,0.011600279083036067,0.63,0.62,0.65,0
f2,neg_egfr_10,0.2039173493613091,0.05235729729081498,1.23,1.11,1.36,1e-4
f2,neg_age10,-0.35045851143647144,0.044404574953266204,0.7,0.65,0.77,0
f2,neg_egfr_10:neg_age10,0.01601635758874417,0.006524531952586957,1.02,1,1.03,0.0141
f3,high_egfr10,0.15611928121430627,0.01960479140549842,1.17,1.12,1.21,0
f3,neg_age10,-0.469943278969974,0.015703994838430296,0.63,0.61,0.64,0
f4,high_egfr10,0.2967467016889818,0.06951639498478979,1.35,1.17,1.54,2e-5
f4,neg_age10,-0.6822036247844987,0.10251907909095351,0.51,0.41,0.62,0
f4,high_egfr10:neg_age10,0.024330057583307318,0.011606038783381071,1.02,1,1.05,0.03605
