"","Overall","0","1","p","test"
"n","66128","30857","35271","",""
"age (mean (SD))","69.90 (12.45)","69.08 (13.78)","70.62 (11.11)","<0.001",""
"eGFR (median [IQR])","78.49 [63.03, 89.81]","78.27 [62.93, 89.99]","78.54 [63.15, 89.73]"," 0.543","nonnorm"
"ckd_cat (%)","","","","<0.001",""
"   eGFR 75 - <90","21026 (31.8) "," 9630 (31.2) ","11396 (32.3) ","",""
"   eGFR >120","  283 ( 0.4) ","  152 ( 0.5) ","  131 ( 0.4) ","",""
"   eGFR 105 - <120"," 2290 ( 3.5) "," 1234 ( 4.0) "," 1056 ( 3.0) ","",""
"   eGFR 90 - <105","13680 (20.7) "," 6327 (20.5) "," 7353 (20.8) ","",""
"   eGFR 60 - <75","14641 (22.1) "," 6849 (22.2) "," 7792 (22.1) ","",""
"   eGFR 45 - <60"," 8069 (12.2) "," 3795 (12.3) "," 4274 (12.1) ","",""
"   eGFR 30 - <45"," 4428 ( 6.7) "," 2133 ( 6.9) "," 2295 ( 6.5) ","",""
"   eGFR <30"," 1711 ( 2.6) ","  737 ( 2.4) ","  974 ( 2.8) ","",""
"SMOKING_STATUS (%)","","","","<0.001",""
"   Ex_smoker","19847 (30.0) "," 7244 (23.5) ","12603 (35.7) ","",""
"   Non_smoker","21348 (32.3) ","11438 (37.1) "," 9910 (28.1) ","",""
"   Smoker","13729 (20.8) "," 6426 (20.8) "," 7303 (20.7) ","",""
"   NA","11204 (16.9) "," 5749 (18.6) "," 5455 (15.5) ","",""
"mm_count_no_ckd (median [IQR])"," 2.00 [1.00, 4.00]"," 2.00 [1.00, 4.00]"," 2.00 [1.00, 4.00]","<0.001","nonnorm"
"WIMD_2011_DECILE (median [IQR])"," 5.00 [3.00, 8.00]"," 5.00 [3.00, 8.00]"," 6.00 [3.00, 8.00]","<0.001","nonnorm"
"stage_simplified (%)","","","","<0.001",""
"   1","13277 (20.1) "," 8162 (26.5) "," 5115 (14.5) ","",""
"   2","13118 (19.8) "," 5663 (18.4) "," 7455 (21.1) ","",""
"   3","10900 (16.5) "," 4703 (15.2) "," 6197 (17.6) ","",""
"   4","15371 (23.2) "," 6089 (19.7) "," 9282 (26.3) ","",""
"   Unknown","13462 (20.4) "," 6240 (20.2) "," 7222 (20.5) ","",""
