"","sex","n","death","surv","ca_type"
"1","0",2095,"1953 (93.2)","0.3 (0.1 - 0.9)","abdo"
"2","1",2342,"2193 (93.6)","0.3 (0.1 - 1.1)","abdo"
"3","0",8954,"2656 (29.7)","5 (3.2 - 7)","breast"
"4","0",5644,"3731 (66.1)","1.8 (0.4 - 5)","dig"
"5","1",8123,"5539 (68.2)","1.9 (0.4 - 4.8)","dig"
"6","0",4522,"2171 (48)","3.7 (1.2 - 6.3)","female"
"7","0",696,"344 (49.4)","3.5 (1.1 - 5.9)","headneck"
"8","1",1748,"898 (51.4)","3.6 (1.3 - 5.9)","headneck"
"9","0",1432,"935 (65.3)","1.9 (0.4 - 5.2)","kub"
"10","1",2733,"1749 (64)","2.6 (0.6 - 5.4)","kub"
"11","0",1266,"330 (26.1)","5.2 (3.3 - 7.2)","melanoma"
"12","1",1317,"448 (34)","4.5 (3 - 6.6)","melanoma"
"13","0",912,"677 (74.2)","1 (0.2 - 3.8)","other"
"14","1",1433,"1170 (81.6)","0.8 (0.2 - 2.9)","other"
"15","1",11470,"3642 (31.8)","4.7 (3.2 - 6.8)","prostate"
"16","0",4946,"4423 (89.4)","0.5 (0.1 - 1.7)","resp"
"17","1",5482,"5016 (91.5)","0.4 (0.1 - 1.2)","resp"
"18","0",30857,"17303 (56.1)","3.1 (0.5 - 5.7)",NA
"19","1",35271,"20855 (59.1)","2.9 (0.5 - 5.5)",NA
